micro_zone,distributionType,n,scenario,dc
1987,MOTORIZED,36,2-MUC: Nur Transporter,14
1988,MOTORIZED,66,2-MUC: Nur Transporter,14
2601,MOTORIZED,27,2-MUC: Nur Transporter,14
2602,MOTORIZED,32,2-MUC: Nur Transporter,14
2603,MOTORIZED,35,2-MUC: Nur Transporter,14
2604,MOTORIZED,37,2-MUC: Nur Transporter,14
2605,MOTORIZED,5,2-MUC: Nur Transporter,14
2606,MOTORIZED,13,2-MUC: Nur Transporter,14
2607,MOTORIZED,22,2-MUC: Nur Transporter,14
2608,MOTORIZED,22,2-MUC: Nur Transporter,14
2609,MOTORIZED,28,2-MUC: Nur Transporter,14
2610,MOTORIZED,72,2-MUC: Nur Transporter,14
2611,MOTORIZED,65,2-MUC: Nur Transporter,14
