micro_zone,microDepotId,scenario,dc
1892,507,2-MUC: Nur Transporter,14
1893,549,2-MUC: Nur Transporter,14
1894,507,2-MUC: Nur Transporter,14
1895,549,2-MUC: Nur Transporter,14
1896,552,2-MUC: Nur Transporter,14
1897,591,2-MUC: Nur Transporter,14
1898,552,2-MUC: Nur Transporter,14
1899,591,2-MUC: Nur Transporter,14
1900,591,2-MUC: Nur Transporter,14
1901,591,2-MUC: Nur Transporter,14
1902,591,2-MUC: Nur Transporter,14
1903,591,2-MUC: Nur Transporter,14
1904,549,2-MUC: Nur Transporter,14
1905,588,2-MUC: Nur Transporter,14
1906,549,2-MUC: Nur Transporter,14
1907,588,2-MUC: Nur Transporter,14
1908,588,2-MUC: Nur Transporter,14
1909,588,2-MUC: Nur Transporter,14
1910,588,2-MUC: Nur Transporter,14
1911,588,2-MUC: Nur Transporter,14
1912,507,2-MUC: Nur Transporter,14
1913,507,2-MUC: Nur Transporter,14
1914,459,2-MUC: Nur Transporter,14
1915,504,2-MUC: Nur Transporter,14
1916,459,2-MUC: Nur Transporter,14
1917,504,2-MUC: Nur Transporter,14
1918,504,2-MUC: Nur Transporter,14
1919,504,2-MUC: Nur Transporter,14
1920,504,2-MUC: Nur Transporter,14
1921,504,2-MUC: Nur Transporter,14
1922,546,2-MUC: Nur Transporter,14
1923,504,2-MUC: Nur Transporter,14
1924,504,2-MUC: Nur Transporter,14
1925,501,2-MUC: Nur Transporter,14
1926,501,2-MUC: Nur Transporter,14
1927,504,2-MUC: Nur Transporter,14
1928,546,2-MUC: Nur Transporter,14
1929,501,2-MUC: Nur Transporter,14
1930,543,2-MUC: Nur Transporter,14
1931,549,2-MUC: Nur Transporter,14
1932,588,2-MUC: Nur Transporter,14
1933,546,2-MUC: Nur Transporter,14
1934,585,2-MUC: Nur Transporter,14
1935,588,2-MUC: Nur Transporter,14
1936,588,2-MUC: Nur Transporter,14
1937,585,2-MUC: Nur Transporter,14
1938,585,2-MUC: Nur Transporter,14
1939,546,2-MUC: Nur Transporter,14
1940,585,2-MUC: Nur Transporter,14
1941,546,2-MUC: Nur Transporter,14
1942,546,2-MUC: Nur Transporter,14
1943,543,2-MUC: Nur Transporter,14
1944,543,2-MUC: Nur Transporter,14
1945,582,2-MUC: Nur Transporter,14
1946,585,2-MUC: Nur Transporter,14
1947,585,2-MUC: Nur Transporter,14
1948,582,2-MUC: Nur Transporter,14
1949,582,2-MUC: Nur Transporter,14
1952,660,2-MUC: Nur Transporter,14
1953,627,2-MUC: Nur Transporter,14
1955,627,2-MUC: Nur Transporter,14
1956,627,2-MUC: Nur Transporter,14
1974,627,2-MUC: Nur Transporter,14
